"id"," name"," count"
"5705","verduras","1"
"5706","Ca' Dario","1"
"5708","poeti","1"
"5709","Punta Dogana","1"
"5710","paesaggi","1"
"5711","orizzonti","1"
"5715","Wykop","1"
"5716","Mori","1"
"5717","rioba","1"
"5721","Casa del Tintoretto","1"
"5724","porticato","1"
"5746","Cassette postali","1"
"5749","querini stampalia","1"
"5751","Libreria acqua alta","1"
"5757","multietnicità","1"
"5758","Pianoforte","1"
"5765","puzza","1"
"5774","tristezza","1"
"5778","Puro","1"
"5779","peste","1"
"5780","tabaco","1"
"5782","Villa Heriot","1"
"5783","Centri civici","1"
"5784","Rio terrà","1"
"5785","Percorso tattile","1"
"5790","organo","1"
"5794","corde","1"
"5796","bagni publici","1"
"5797","follia","1"
"5803","eliche","1"
"5805","percorsi tattili inaccessibili","1"
"5809","Santuario","1"
"5810","tazzine","1"
"5811","campanello","1"
"5812","giocattolo","1"
"5813","spostarsi","1"
"5815","vetrina","1"
"5816","Gondolieri","1"
"5818","Borse","1"
"5819","cuoio","1"
"5820","Provare","1"
"5821","Impressioni","1"
"5822","Salmastro","1"
"5825","Parrucca","1"
"5826","microfono","1"
"5827","peloso","1"
"5828","ospedalw","1"
"5830","Antony","1"
"5832","Leggenda","1"
"5833","leggenda veneziana","1"
"5834","venezia oscura","1"
"5835","Serenissima","1"
"5837","conzafelsi","1"
"5838","scuola di San Marco","1"
"5842","portone","1"
"5846","bellezza","1"
"5847","Hare Krishna","1"
"5848","danze","1"
"5849","Gressan","1"
"5853","Ferrovvia","1"
"5857","carrello","1"
"5858","conad","1"
"5860","Posizione","1"
"5865","dialetto","1"
"5867","ambulanti","1"
"5868","Area di sosta","1"
"5869","San Giacometo","1"
